Perplexity Results for FFNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 1848.9583
Average Test Perplexity: 1992.5259

Test Set Perplexities:
Sentence 790: 1728.2462
Sentence 791: 64.8650
Sentence 792: 2776.1388
Sentence 793: 6935.5039
Sentence 794: 3043.5302
Sentence 795: 58.8852
Sentence 796: 8.5655
Sentence 797: 5024.6808
Sentence 798: 297.2616
Sentence 799: 907.1705
Sentence 800: 31.0283
Sentence 801: 605.6261
Sentence 802: 175.7743
Sentence 803: 289.0114
Sentence 804: 3281.2345
Sentence 805: 1.8232
Sentence 806: 1024.4008
Sentence 807: 20.7893
Sentence 808: 2882.9876
Sentence 809: 476.1994
Sentence 810: 1.5387
Sentence 811: 628.3789
Sentence 812: 101.6848
Sentence 813: 6550.2602
Sentence 814: 185.5579
Sentence 815: 1353.9339
Sentence 816: 1404.9928
Sentence 817: 124.7265
Sentence 818: 5639.5979
Sentence 819: 5804.6812
Sentence 820: 16.1129
Sentence 821: 104.2206
Sentence 822: 31.0283
Sentence 823: 7255.1370
Sentence 824: 213.8232
Sentence 825: 8348.1520
Sentence 826: 449.6763
Sentence 827: 5.9026
Sentence 828: 5911.5857
Sentence 829: 297.2616
Sentence 830: 6.9961
Sentence 831: 2832.1408
Sentence 832: 7246.4881
Sentence 833: 44.4872
Sentence 834: 2158.7255
Sentence 835: 8.7111
Sentence 836: 27.7081
Sentence 837: 7430.7175
Sentence 838: 8780.7382
Sentence 839: 6.7915
Sentence 840: 1413.2089
Sentence 841: 1.1367
Sentence 842: 589.8946
Sentence 843: 8424.0342
Sentence 844: 5049.8439
Sentence 845: 123.2642
Sentence 846: 27.6252
Sentence 847: 680.7053
Sentence 848: 849.4879
Sentence 849: 31.0283
Sentence 850: 290.8614
Sentence 851: 44.4872
Sentence 852: 580.2404
Sentence 853: 212.2742
Sentence 854: 274.1830
Sentence 855: 7383.8828
Sentence 856: 767.3023
Sentence 857: 417.2373
Sentence 858: 6702.2531
Sentence 859: 31.0283
Sentence 860: 6056.3598
Sentence 861: 1.0000
Sentence 862: 1.0002
Sentence 863: 163.6702
Sentence 864: 83.2289
Sentence 865: 158.9107
Sentence 866: 7747.3913
Sentence 867: 141.4992
Sentence 868: 31.9335
Sentence 869: 209.6788
Sentence 870: 994.9081
Sentence 871: 323.7153
Sentence 872: 12.5537
Sentence 873: 2289.0034
Sentence 874: 183.3278
Sentence 875: 5578.9492
Sentence 876: 810.6465
Sentence 877: 27.6252
Sentence 878: 44.4872
Sentence 879: 2253.1643
Sentence 880: 124.7265
Sentence 881: 7464.8519
Sentence 882: 2456.7693
Sentence 883: 27.6252
Sentence 884: 5549.3343
Sentence 885: 4.8012
Sentence 886: 13.1970
Sentence 887: 2614.2810
Sentence 888: 583.9182
Sentence 889: 3766.5480
Sentence 890: 3524.0926
Sentence 891: 5052.8588
Sentence 892: 5.3543
Sentence 893: 276.9279
Sentence 894: 183.9766
Sentence 895: 1575.7158
Sentence 896: 62.4509
Sentence 897: 30.8464
Sentence 898: 5689.2174
Sentence 899: 26.3646
Sentence 900: 172.9647
Sentence 901: 163.6702
Sentence 902: 304.8277
Sentence 903: 212.2742
Sentence 904: 389.4706
Sentence 905: 702.3839
Sentence 906: 31.0283
Sentence 907: 1173.6518
Sentence 908: 44.4872
Sentence 909: 6301.4447
Sentence 910: 15.6499
Sentence 911: 553.5549
Sentence 912: 44.4872
Sentence 913: 841.8589
Sentence 914: 2049.0394
Sentence 915: 684.8544
Sentence 916: 1266.7802
Sentence 917: 5435.9739
Sentence 918: 12.6416
Sentence 919: 7381.1299
Sentence 920: 27.6252
Sentence 921: 44.4872
Sentence 922: 1613.1809
Sentence 923: 186.6606
Sentence 924: 1.0121
Sentence 925: 359.5191
Sentence 926: 1757.2533
Sentence 927: 44.4872
Sentence 928: 6101.9944
Sentence 929: 1036.2533
Sentence 930: 169.7593
Sentence 931: 78.7070
Sentence 932: 5.4670
Sentence 933: 6785.1690
Sentence 934: 64.8650
Sentence 935: 7549.3801
Sentence 936: 1623.2246
Sentence 937: 11.2347
Sentence 938: 587.9886
Sentence 939: 1047.7489
Sentence 940: 16.1968
Sentence 941: 7147.7312
Sentence 942: 11.3082
