Perplexity Results for RNN on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 255.7799
Average Test Perplexity: 1316.8406

Test Set Perplexities:
Sentence 692: 3921.8647
Sentence 693: 23.1090
Sentence 694: 2.1253
Sentence 695: 5762.1503
Sentence 696: 8.2553
Sentence 697: 22.0400
Sentence 698: 2.0880
Sentence 699: 67.0833
Sentence 700: 77.0315
Sentence 701: 2466.7471
Sentence 702: 5876.4031
Sentence 703: 22.1532
Sentence 704: 42.0888
Sentence 705: 293.2125
Sentence 706: 1.9738
Sentence 707: 709.6505
Sentence 708: 269.3713
Sentence 709: 7180.1411
Sentence 710: 388.9454
Sentence 711: 5.2852
Sentence 712: 1687.0902
Sentence 713: 153.1281
Sentence 714: 5617.4200
Sentence 715: 2.1525
Sentence 716: 1.2542
Sentence 717: 44.2178
Sentence 718: 123.4979
Sentence 719: 1.4106
Sentence 720: 3.3047
Sentence 721: 9814.3784
Sentence 722: 61.1697
Sentence 723: 741.0082
Sentence 724: 2.0120
Sentence 725: 40.0864
Sentence 726: 33.3410
Sentence 727: 7982.9764
Sentence 728: 101.2400
Sentence 729: 9107.2912
Sentence 730: 1.6771
Sentence 731: 3.5953
Sentence 732: 8705.0626
Sentence 733: 42.2973
Sentence 734: 144.8896
Sentence 735: 747.5037
Sentence 736: 56.7850
Sentence 737: 1236.6458
Sentence 738: 4542.9523
Sentence 739: 10.2378
Sentence 740: 911.1810
Sentence 741: 3.6103
Sentence 742: 3.0429
Sentence 743: 3.4525
Sentence 744: 3.0311
Sentence 745: 1187.2158
Sentence 746: 119.5627
Sentence 747: 2518.5379
Sentence 748: 261.5313
Sentence 749: 29.0460
Sentence 750: 12.9331
Sentence 751: 28.0249
Sentence 752: 5065.7626
Sentence 753: 979.3999
Sentence 754: 2.5556
Sentence 755: 4072.7732
Sentence 756: 137.8704
Sentence 757: 205.3128
Sentence 758: 5.8622
Sentence 759: 316.2954
Sentence 760: 522.9355
Sentence 761: 2471.9468
Sentence 762: 745.4229
Sentence 763: 137.2521
Sentence 764: 657.9648
Sentence 765: 60.3002
Sentence 766: 48.4214
Sentence 767: 1.0919
Sentence 768: 6464.3724
Sentence 769: 4.5548
Sentence 770: 3.3284
Sentence 771: 14.0680
Sentence 772: 7.0048
Sentence 773: 5.7235
Sentence 774: 7.9793
Sentence 775: 117.7973
Sentence 776: 268.3910
Sentence 777: 6.0122
Sentence 778: 8921.7184
Sentence 779: 1.2830
Sentence 780: 3651.6460
Sentence 781: 3.3984
Sentence 782: 1819.1905
Sentence 783: 362.5691
Sentence 784: 3195.0587
Sentence 785: 1031.0668
Sentence 786: 410.7075
Sentence 787: 1027.7122
Sentence 788: 13.4272
