Perplexity Results for LSTM on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 166.3927
Average Test Perplexity: 1108.9579

Test Set Perplexities:
Sentence 783: 1517.8807
Sentence 784: 1201.9489
Sentence 785: 17.4481
Sentence 786: 8542.9951
Sentence 787: 2805.3026
Sentence 788: 37.5824
Sentence 789: 2209.4356
Sentence 790: 29.0478
Sentence 791: 371.2047
Sentence 792: 21.6982
Sentence 793: 42.4676
Sentence 794: 29.6297
Sentence 795: 6127.6215
Sentence 796: 3117.3833
Sentence 797: 2.2578
Sentence 798: 1624.3303
Sentence 799: 3910.6829
Sentence 800: 243.7057
Sentence 801: 1.8049
Sentence 802: 294.3686
Sentence 803: 2.2689
Sentence 804: 97.1054
Sentence 805: 128.8236
Sentence 806: 4791.7613
Sentence 807: 144.9635
Sentence 808: 1278.0016
Sentence 809: 5.0759
Sentence 810: 12.2814
Sentence 811: 892.0038
Sentence 812: 30.3529
Sentence 813: 59.8632
Sentence 814: 8.5760
Sentence 815: 8.5517
Sentence 816: 40.1040
Sentence 817: 1021.6794
Sentence 818: 31.5314
Sentence 819: 1.1046
Sentence 820: 101.6208
Sentence 821: 14.0430
Sentence 822: 8333.6111
Sentence 823: 28.6307
Sentence 824: 504.4544
Sentence 825: 1274.2653
Sentence 826: 147.5483
Sentence 827: 1487.9541
Sentence 828: 3180.5153
Sentence 829: 57.8457
Sentence 830: 20.6206
Sentence 831: 1745.5528
Sentence 832: 4.9806
Sentence 833: 5844.8384
Sentence 834: 2915.3275
Sentence 835: 66.6657
Sentence 836: 9.7725
Sentence 837: 380.7658
Sentence 838: 376.3606
Sentence 839: 1.0717
Sentence 840: 34.3648
Sentence 841: 14.3763
Sentence 842: 6.5696
Sentence 843: 230.8642
Sentence 844: 1701.5085
Sentence 845: 7.4919
Sentence 846: 2.1296
Sentence 847: 7463.2739
Sentence 848: 44.2249
Sentence 849: 3.4998
Sentence 850: 58.1271
Sentence 851: 1447.2942
Sentence 852: 12.9429
Sentence 853: 11.4833
Sentence 854: 7.7745
Sentence 855: 24.2732
Sentence 856: 5.6775
Sentence 857: 245.0950
Sentence 858: 337.8488
Sentence 859: 11.8386
Sentence 860: 12.1124
Sentence 861: 41.5049
Sentence 862: 1094.5706
Sentence 863: 25.0437
Sentence 864: 4.2489
Sentence 865: 91.2624
Sentence 866: 1.0802
Sentence 867: 105.0717
Sentence 868: 18.5896
Sentence 869: 27.1415
Sentence 870: 432.0315
Sentence 871: 157.1242
Sentence 872: 9066.5093
Sentence 873: 1.4511
Sentence 874: 8.5420
Sentence 875: 7493.5415
Sentence 876: 207.2908
