Perplexity Results for FFNN on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 427.4428
Average Test Perplexity: 1200.8770

Test Set Perplexities:
Sentence 650: 6402.7799
Sentence 651: 3853.5432
Sentence 652: 878.0506
Sentence 653: 2178.5496
Sentence 654: 21.1337
Sentence 655: 5.0249
Sentence 656: 5.3799
Sentence 657: 34.9908
Sentence 658: 293.8541
Sentence 659: 31.2341
Sentence 660: 350.3673
Sentence 661: 2898.6798
Sentence 662: 169.7248
Sentence 663: 91.4821
Sentence 664: 2.1644
Sentence 665: 34.4706
Sentence 666: 16.6350
Sentence 667: 65.1815
Sentence 668: 299.3080
Sentence 669: 93.8963
Sentence 670: 1436.1632
Sentence 671: 30.3547
Sentence 672: 22.1853
Sentence 673: 4.0993
Sentence 674: 99.3281
Sentence 675: 5267.7960
Sentence 676: 64.2684
Sentence 677: 39.6800
Sentence 678: 120.0355
Sentence 679: 36.9893
Sentence 680: 48.2376
Sentence 681: 495.5655
Sentence 682: 86.4518
Sentence 683: 11.0815
Sentence 684: 127.4858
Sentence 685: 159.7327
Sentence 686: 29.6322
Sentence 687: 1.0067
Sentence 688: 51.7317
Sentence 689: 174.7854
Sentence 690: 6.6778
Sentence 691: 185.2784
Sentence 692: 9804.9574
Sentence 693: 24.3453
Sentence 694: 1.6092
Sentence 695: 7925.0293
Sentence 696: 51.6895
Sentence 697: 21.3769
Sentence 698: 1.5771
Sentence 699: 199.4835
Sentence 700: 18.0618
Sentence 701: 207.4973
Sentence 702: 31.8596
Sentence 703: 16.4452
Sentence 704: 25.7646
Sentence 705: 98.4542
Sentence 706: 2.8204
Sentence 707: 419.6308
Sentence 708: 62.2070
Sentence 709: 8224.3602
Sentence 710: 170.7272
Sentence 711: 1.6508
Sentence 712: 2501.1195
Sentence 713: 9.0048
Sentence 714: 4225.7188
Sentence 715: 2.4658
Sentence 716: 1.5432
Sentence 717: 41.7086
Sentence 718: 62.3950
Sentence 719: 1.0755
Sentence 720: 216.1250
Sentence 721: 8088.7249
Sentence 722: 27.0960
Sentence 723: 6124.4532
Sentence 724: 3.1855
Sentence 725: 38.3997
Sentence 726: 25.6223
Sentence 727: 5334.3281
Sentence 728: 4.9559
Sentence 729: 2514.3117
Sentence 730: 31.7955
Sentence 731: 10.7866
Sentence 732: 2025.7285
Sentence 733: 25.1766
Sentence 734: 5326.7193
Sentence 735: 105.5142
Sentence 736: 146.2210
Sentence 737: 1765.7570
Sentence 738: 286.8535
Sentence 739: 24.2641
Sentence 740: 127.9432
Sentence 741: 20.0527
Sentence 742: 3.8431
Sentence 743: 10.2305
Sentence 744: 2.3360
Sentence 745: 586.6015
Sentence 746: 2829.7704
Sentence 747: 3888.5570
Sentence 748: 141.7624
Sentence 749: 10.1029
Sentence 750: 39.1972
Sentence 751: 103.5233
Sentence 752: 1548.7854
Sentence 753: 88.8315
Sentence 754: 2.6664
Sentence 755: 580.7652
Sentence 756: 79.2216
Sentence 757: 65.2904
Sentence 758: 9.4893
Sentence 759: 682.3637
Sentence 760: 250.1172
Sentence 761: 136.8502
Sentence 762: 2222.1610
Sentence 763: 40.6851
Sentence 764: 69.7839
Sentence 765: 175.0137
Sentence 766: 126.1408
Sentence 767: 1.1592
Sentence 768: 544.9118
Sentence 769: 17.1529
Sentence 770: 98.0482
Sentence 771: 122.7844
Sentence 772: 12.2431
Sentence 773: 15.9377
Sentence 774: 8.4309
Sentence 775: 228.6075
Sentence 776: 188.5724
Sentence 777: 4.6971
Sentence 778: 561.5289
Sentence 779: 1.6788
Sentence 780: 397.8820
Sentence 781: 2.1215
Sentence 782: 111.6307
Sentence 783: 5678.9710
Sentence 784: 2467.6459
Sentence 785: 1791.6802
Sentence 786: 121.7089
Sentence 787: 1206.2585
Sentence 788: 6.0109
Sentence 789: 638.0192
Sentence 790: 30.4913
Sentence 791: 228.8352
Sentence 792: 34.0029
Sentence 793: 79.2856
Sentence 794: 25.1362
Sentence 795: 1311.7823
Sentence 796: 7112.4973
Sentence 797: 3.3308
Sentence 798: 3628.5504
Sentence 799: 3580.1032
Sentence 800: 306.2537
Sentence 801: 2.4680
Sentence 802: 157.9604
Sentence 803: 3.4264
Sentence 804: 67.1614
Sentence 805: 140.1787
Sentence 806: 6135.8123
Sentence 807: 155.1805
Sentence 808: 6560.0000
Sentence 809: 5.7088
Sentence 810: 7.8312
Sentence 811: 417.4905
Sentence 812: 69.4445
Sentence 813: 117.2204
Sentence 814: 13.1703
Sentence 815: 71.7743
Sentence 816: 40.2239
Sentence 817: 52.0459
Sentence 818: 45.5726
Sentence 819: 2.0785
Sentence 820: 101.4776
Sentence 821: 17.2621
Sentence 822: 8840.7393
Sentence 823: 589.7379
Sentence 824: 7328.8512
Sentence 825: 279.0592
Sentence 826: 8794.0852
Sentence 827: 871.6680
Sentence 828: 3337.5574
Sentence 829: 1773.8226
Sentence 830: 5.7405
Sentence 831: 452.9828
Sentence 832: 4.9844
Sentence 833: 9865.9309
Sentence 834: 405.5719
Sentence 835: 1028.0868
Sentence 836: 82.0584
Sentence 837: 79.5318
Sentence 838: 97.3548
Sentence 839: 1.5040
Sentence 840: 249.7302
Sentence 841: 30.4952
Sentence 842: 9.0842
Sentence 843: 84.3035
Sentence 844: 471.6250
Sentence 845: 32.5580
Sentence 846: 3.3919
Sentence 847: 1792.3219
Sentence 848: 116.2292
Sentence 849: 1.7288
Sentence 850: 57.2376
Sentence 851: 1700.7420
Sentence 852: 29.6178
Sentence 853: 84.2884
Sentence 854: 7.4680
Sentence 855: 10.7259
Sentence 856: 3.6125
Sentence 857: 176.7880
Sentence 858: 224.7963
Sentence 859: 9.1722
Sentence 860: 9.9240
Sentence 861: 59.3790
Sentence 862: 4566.6679
Sentence 863: 28.6363
Sentence 864: 8.2944
Sentence 865: 1736.5186
Sentence 866: 1.5614
Sentence 867: 80.6946
Sentence 868: 275.7815
Sentence 869: 54.0348
Sentence 870: 444.0032
Sentence 871: 446.7948
Sentence 872: 9168.8810
Sentence 873: 3.8370
Sentence 874: 6.2082
Sentence 875: 171.9700
Sentence 876: 780.2040
Sentence 877: 7906.5855
Sentence 878: 276.1715
Sentence 879: 89.8403
Sentence 880: 5.9157
Sentence 881: 33.3800
Sentence 882: 13.0933
Sentence 883: 5.6437
Sentence 884: 6304.2397
Sentence 885: 38.9704
Sentence 886: 19.4165
Sentence 887: 37.0172
Sentence 888: 2606.9589
Sentence 889: 9.9202
Sentence 890: 1.0000
Sentence 891: 9415.3068
Sentence 892: 8713.5223
Sentence 893: 2.7067
Sentence 894: 51.4449
Sentence 895: 32.2593
Sentence 896: 295.4502
Sentence 897: 22.0631
Sentence 898: 324.6873
Sentence 899: 27.2082
Sentence 900: 15.8102
Sentence 901: 61.9105
Sentence 902: 106.9888
Sentence 903: 188.1539
Sentence 904: 1656.8595
Sentence 905: 816.9885
Sentence 906: 197.0695
Sentence 907: 5747.7774
Sentence 908: 19.2863
Sentence 909: 388.5784
Sentence 910: 6.7980
Sentence 911: 42.6974
Sentence 912: 288.9516
Sentence 913: 188.1539
Sentence 914: 8562.0809
Sentence 915: 106.5115
Sentence 916: 34.6691
Sentence 917: 9301.5820
Sentence 918: 1.5427
Sentence 919: 50.3059
Sentence 920: 288.9516
Sentence 921: 188.1539
Sentence 922: 6.3404
Sentence 923: 2714.4895
Sentence 924: 10.5809
Sentence 925: 1.5695
Sentence 926: 61.6625
Sentence 927: 32.7048
Sentence 928: 273.5326
Sentence 929: 26.0282
Sentence 930: 9996.3469
Sentence 931: 69.9885
Sentence 932: 2082.9064
Sentence 933: 20.3427
Sentence 934: 691.5766
Sentence 935: 138.9291
Sentence 936: 8122.3326
Sentence 937: 8222.9611
Sentence 938: 7.9643
Sentence 939: 8044.3431
Sentence 940: 57.6030
Sentence 941: 246.2198
Sentence 942: 186.4866
Sentence 943: 65.3720
Sentence 944: 25.0623
Sentence 945: 41.7058
Sentence 946: 735.6113
Sentence 947: 68.9021
Sentence 948: 1256.2390
Sentence 949: 1.8484
Sentence 950: 7.5153
Sentence 951: 1.0003
Sentence 952: 2.7610
Sentence 953: 5.7327
Sentence 954: 536.1472
Sentence 955: 100.6114
Sentence 956: 88.1654
Sentence 957: 2.3109
Sentence 958: 15.8658
Sentence 959: 3008.7277
Sentence 960: 2079.4183
Sentence 961: 2.3109
Sentence 962: 120.3962
Sentence 963: 5.6338
Sentence 964: 1431.2638
Sentence 965: 441.1378
Sentence 966: 9250.9370
Sentence 967: 9.5864
Sentence 968: 168.0143
Sentence 969: 3.0274
Sentence 970: 4.8141
