Perplexity Results for RNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 649.1392
Average Test Perplexity: 1952.1131

Test Set Perplexities:
Sentence 468: 2849.9243
Sentence 469: 33.1802
Sentence 470: 116.6618
Sentence 471: 5431.9495
Sentence 472: 6.0907
Sentence 473: 1.0621
Sentence 474: 65.0583
Sentence 475: 369.1040
Sentence 476: 8597.8963
Sentence 477: 204.3936
Sentence 478: 33.5436
Sentence 479: 8395.8267
Sentence 480: 930.5922
Sentence 481: 11.1667
Sentence 482: 1.0182
Sentence 483: 191.2103
Sentence 484: 117.6608
Sentence 485: 115.6303
Sentence 486: 53.2196
Sentence 487: 1440.1278
Sentence 488: 8925.0832
Sentence 489: 43.5660
Sentence 490: 28.5267
Sentence 491: 6111.9551
Sentence 492: 10.6551
Sentence 493: 1.0491
Sentence 494: 4.0012
Sentence 495: 9775.7040
Sentence 496: 156.2627
Sentence 497: 1.5241
Sentence 498: 872.3241
Sentence 499: 5.5343
Sentence 500: 7161.4025
Sentence 501: 721.6231
Sentence 502: 16.3397
Sentence 503: 347.6575
Sentence 504: 30.2705
Sentence 505: 54.2868
Sentence 506: 9139.5878
Sentence 507: 273.3070
Sentence 508: 7048.7298
Sentence 509: 6167.2220
Sentence 510: 418.8148
Sentence 511: 2234.8819
Sentence 512: 44.0482
Sentence 513: 8032.3862
Sentence 514: 86.6971
Sentence 515: 12.4060
Sentence 516: 1693.6308
Sentence 517: 617.9419
Sentence 518: 1328.3161
Sentence 519: 87.5969
Sentence 520: 59.8526
Sentence 521: 296.0593
Sentence 522: 7858.7204
Sentence 523: 777.4251
Sentence 524: 19.3135
Sentence 525: 4.5772
Sentence 526: 9840.0194
Sentence 527: 7227.9411
Sentence 528: 103.9083
Sentence 529: 4.2409
Sentence 530: 1795.8516
Sentence 531: 109.0896
Sentence 532: 8702.7842
Sentence 533: 5669.4473
Sentence 534: 15.4176
Sentence 535: 6.8662
Sentence 536: 4865.1993
Sentence 537: 308.6307
Sentence 538: 20.1389
Sentence 539: 20.2101
Sentence 540: 1057.1634
Sentence 541: 6.7295
Sentence 542: 7217.4226
Sentence 543: 11.8649
Sentence 544: 1.0161
Sentence 545: 2.1328
Sentence 546: 1956.6368
Sentence 547: 6790.8108
Sentence 548: 122.6893
Sentence 549: 799.7205
Sentence 550: 264.6971
Sentence 551: 2107.3506
Sentence 552: 67.4188
Sentence 553: 4.9029
Sentence 554: 6868.3782
Sentence 555: 6869.6575
Sentence 556: 134.4550
Sentence 557: 457.2424
Sentence 558: 57.5096
Sentence 559: 5.8027
Sentence 560: 332.0192
Sentence 561: 505.3100
Sentence 562: 2.7453
Sentence 563: 72.1219
Sentence 564: 5949.4693
Sentence 565: 12.1066
Sentence 566: 13.7791
Sentence 567: 2789.9034
Sentence 568: 200.5037
Sentence 569: 17.0768
Sentence 570: 34.4943
Sentence 571: 66.0735
Sentence 572: 311.9252
Sentence 573: 2.1677
Sentence 574: 27.5456
Sentence 575: 542.2327
Sentence 576: 3.0016
Sentence 577: 1.4176
