Perplexity Results for LSTM on ulysses
--------------------------------------------------------

Average Training Perplexity: 764.0636
Average Test Perplexity: 1845.8647

Test Set Perplexities:
Sentence 551: 7667.1408
Sentence 552: 205.3574
Sentence 553: 6.9765
Sentence 554: 4483.8494
Sentence 555: 8366.3439
Sentence 556: 1516.9213
Sentence 557: 406.6468
Sentence 558: 70.0662
Sentence 559: 12.1446
Sentence 560: 19.2432
Sentence 561: 9435.7664
Sentence 562: 1.1257
Sentence 563: 37.1463
Sentence 564: 7602.6059
Sentence 565: 4.4833
Sentence 566: 4.6790
Sentence 567: 4392.6278
Sentence 568: 8267.1814
Sentence 569: 38.5946
Sentence 570: 48.2723
Sentence 571: 109.3843
Sentence 572: 389.2178
Sentence 573: 2.2331
Sentence 574: 3073.1971
Sentence 575: 368.4523
Sentence 576: 2.5084
Sentence 577: 1.1219
Sentence 578: 215.3710
Sentence 579: 5.8758
Sentence 580: 2352.9292
Sentence 581: 9321.6893
Sentence 582: 2.8093
Sentence 583: 397.1066
Sentence 584: 56.1427
Sentence 585: 145.2119
Sentence 586: 1.0000
Sentence 587: 1.0001
Sentence 588: 4564.7691
Sentence 589: 326.9447
Sentence 590: 26.3459
Sentence 591: 2936.8579
Sentence 592: 9.5645
Sentence 593: 991.9545
Sentence 594: 7.7625
Sentence 595: 3383.0081
Sentence 596: 67.8459
Sentence 597: 5824.4443
Sentence 598: 1276.9605
Sentence 599: 5372.5845
Sentence 600: 146.4866
Sentence 601: 4.2189
Sentence 602: 16.9160
Sentence 603: 2648.0642
Sentence 604: 9.4197
Sentence 605: 3.8004
Sentence 606: 1001.6962
Sentence 607: 16.2123
Sentence 608: 2817.7128
Sentence 609: 5479.5277
Sentence 610: 1233.5529
Sentence 611: 480.3765
Sentence 612: 7663.2260
Sentence 613: 3.4107
Sentence 614: 150.8881
Sentence 615: 1.0012
Sentence 616: 1.0002
Sentence 617: 15.2229
Sentence 618: 116.5013
Sentence 619: 23.2434
Sentence 620: 2935.0861
Sentence 621: 5.3194
Sentence 622: 48.0864
Sentence 623: 5261.8837
Sentence 624: 80.2714
Sentence 625: 208.4194
Sentence 626: 79.1499
Sentence 627: 9394.4694
Sentence 628: 3.5237
Sentence 629: 9373.9256
Sentence 630: 2267.4321
Sentence 631: 7369.7545
Sentence 632: 1172.5267
Sentence 633: 173.0122
Sentence 634: 3.3916
Sentence 635: 1110.3644
Sentence 636: 3.2197
Sentence 637: 769.2612
Sentence 638: 1447.2007
Sentence 639: 211.0467
Sentence 640: 4255.6582
Sentence 641: 4340.9061
Sentence 642: 3059.7832
Sentence 643: 14.2768
Sentence 644: 74.6745
Sentence 645: 6232.8818
Sentence 646: 6595.2510
Sentence 647: 2994.7407
Sentence 648: 353.8728
Sentence 649: 3422.1374
Sentence 650: 9288.7328
Sentence 651: 6.8415
Sentence 652: 5676.9283
Sentence 653: 232.8496
Sentence 654: 10.7841
Sentence 655: 63.6661
Sentence 656: 63.0954
Sentence 657: 2955.8129
Sentence 658: 3423.1734
Sentence 659: 2.1228
Sentence 660: 1386.0406
Sentence 661: 1661.7246
Sentence 662: 211.0543
Sentence 663: 580.3057
Sentence 664: 16.9714
Sentence 665: 2156.6729
Sentence 666: 9659.9822
Sentence 667: 40.6428
Sentence 668: 107.0947
Sentence 669: 12.1635
Sentence 670: 56.9163
Sentence 671: 200.2219
Sentence 672: 6875.7503
Sentence 673: 996.8356
Sentence 674: 275.1839
Sentence 675: 8.0625
Sentence 676: 7.0138
Sentence 677: 8373.2049
Sentence 678: 461.3105
Sentence 679: 13.8845
Sentence 680: 1.9556
Sentence 681: 29.1904
Sentence 682: 4.9970
Sentence 683: 5.7309
Sentence 684: 7062.4853
Sentence 685: 1889.1931
Sentence 686: 168.3714
Sentence 687: 46.4105
Sentence 688: 8.5342
Sentence 689: 9.0607
Sentence 690: 1.9556
Sentence 691: 1260.4288
Sentence 692: 141.7525
Sentence 693: 5700.5357
Sentence 694: 892.8017
Sentence 695: 9586.6241
Sentence 696: 1242.5747
Sentence 697: 520.2888
